timestamp,elec,gas,temperature,install_type,location,residents,income_band,study_class,hometype,equivalised_income,occupancy,urban_rural_name,build_era,smart_monitors,smart_automation,occupied_days,occupied_nights,entry_floor,outdoor_space,outdoor_drying
2017-05-19 14:00:00,947.0,0.0,,standard,Midlothian,3,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,1st,Yes - private,Yes
2017-07-27 08:00:00,978.0,632.0,,standard,Midlothian,3,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,1st,Yes - private,Yes
2017-07-27 09:00:00,862.0,632.0,,standard,Midlothian,3,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,1st,Yes - private,Yes
2017-07-27 10:00:00,443.0,0.0,,standard,Midlothian,3,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,1st,Yes - private,Yes
2017-07-27 11:00:00,617.0,0.0,,standard,Midlothian,3,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,1st,Yes - private,Yes
2017-07-27 12:00:00,577.0,0.0,,standard,Midlothian,3,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,1st,Yes - private,Yes
2017-07-27 13:00:00,519.0,316.0,,standard,Midlothian,3,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,1st,Yes - private,Yes
2017-07-27 14:00:00,451.0,0.0,,standard,Midlothian,3,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,1st,Yes - private,Yes
2017-07-27 15:00:00,417.0,0.0,,standard,Midlothian,3,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,1st,Yes - private,Yes
2017-07-27 16:00:00,418.0,0.0,,standard,Midlothian,3,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,1st,Yes - private,Yes
2017-07-27 17:00:00,1290.0,1264.0,,standard,Midlothian,3,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,1st,Yes - private,Yes
2017-07-27 18:00:00,808.0,2844.0,,standard,Midlothian,3,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,1st,Yes - private,Yes
2017-07-27 19:00:00,711.0,1580.0,,standard,Midlothian,3,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,1st,Yes - private,Yes
