timestamp,elec,gas,temperature,install_type,location,residents,income_band,study_class,hometype,equivalised_income,occupancy,urban_rural_name,build_era,smart_monitors,smart_automation,occupied_days,occupied_nights,entry_floor,outdoor_space,outdoor_drying
2017-11-30 08:00:00,1045.0,0.0,1.5,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 09:00:00,845.0,316.0,1.741180954897479,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 10:00:00,802.0,8848.0,2.0,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 11:00:00,1322.0,10112.0,2.2588190451025207,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 12:00:00,2088.0,9796.0,2.5,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 13:00:00,1449.0,7900.0,2.7071067811865475,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 14:00:00,1995.0,8848.0,2.8660254037844384,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 15:00:00,1641.0,8848.0,2.965925826289068,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 16:00:00,1340.0,6320.0,3.0,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 17:00:00,1419.0,8848.0,2.965925826289068,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 18:00:00,1238.0,9164.0,2.8660254037844384,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 19:00:00,1032.0,8216.0,2.7071067811865475,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 20:00:00,992.0,7900.0,2.5000000000000004,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 21:00:00,1046.0,7900.0,2.2588190451025216,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 22:00:00,925.0,5372.0,2.0,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-11-30 23:00:00,765.0,0.0,1.7411809548974797,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 00:00:00,723.0,0.0,3.25,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 01:00:00,747.0,0.0,3.146446609406726,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 02:00:00,1085.0,0.0,3.066987298107781,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 03:00:00,1140.0,0.0,3.0170370868554657,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 04:00:00,1104.0,0.0,3.0,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 05:00:00,709.0,0.0,3.0170370868554657,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 06:00:00,944.0,11376.0,3.066987298107781,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 07:00:00,759.0,1264.0,3.146446609406726,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 08:00:00,876.0,6951.0,3.25,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 09:00:00,936.0,9164.0,3.37059047744874,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 10:00:00,790.0,6952.0,3.5,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 11:00:00,945.0,6320.0,3.629409522551261,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 12:00:00,984.0,6320.0,3.75,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 13:00:00,1462.0,5688.0,3.8535533905932735,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 14:00:00,2007.0,9796.0,3.933012701892219,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 15:00:00,2122.0,8848.0,3.9829629131445343,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 16:00:00,2330.0,6952.0,4.0,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 17:00:00,1948.0,7268.0,3.9829629131445343,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 18:00:00,938.0,11060.0,3.933012701892219,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 19:00:00,994.0,9796.0,3.853553390593274,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 20:00:00,1171.0,8215.0,3.75,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 21:00:00,1016.0,6320.0,3.629409522551261,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 22:00:00,831.0,2844.0,3.5,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-01 23:00:00,814.0,0.0,3.37059047744874,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-02 00:00:00,727.0,0.0,6.25,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-02 01:00:00,688.0,0.0,6.146446609406726,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-02 02:00:00,1143.0,0.0,6.06698729810778,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-02 03:00:00,1095.0,0.0,6.017037086855466,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
2017-12-02 04:00:00,1177.0,0.0,6.0,standard,Fife,2,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,Other Urban Areas,1965-1980,Don't own,Don't own,4,7,Ground,Yes - private,Yes
