timestamp,elec,gas,temperature,install_type,location,residents,income_band,study_class,hometype,equivalised_income,occupancy,urban_rural_name,build_era,smart_monitors,smart_automation,occupied_days,occupied_nights,entry_floor,outdoor_space,outdoor_drying
2018-01-22 12:00:00,0.0,706.0,6.25,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-22 13:00:00,672.0,706.0,6.560660171779821,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-22 14:00:00,224.0,704.0,6.799038105676658,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-22 15:00:00,4143.0,1879.0,6.9488887394336025,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-22 16:00:00,5485.0,510.0,7.0,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-22 17:00:00,3918.0,1260.0,6.9488887394336025,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-22 18:00:00,4478.0,979.0,6.799038105676658,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-22 19:00:00,2574.0,593.0,6.560660171779821,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-22 20:00:00,112.0,1517.0,6.25,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-22 21:00:00,0.0,541.0,5.888228567653782,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-22 22:00:00,224.0,504.0,5.5,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-22 23:00:00,0.0,312.0,5.111771432346219,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 00:00:00,0.0,189.0,6.25,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 01:00:00,0.0,169.0,5.732233047033631,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 02:00:00,0.0,140.0,5.334936490538904,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 03:00:00,223.0,148.0,5.08518543427733,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 04:00:00,0.0,158.0,5.0,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 05:00:00,112.0,136.0,5.08518543427733,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 06:00:00,0.0,139.0,5.334936490538903,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 07:00:00,448.0,371.0,5.732233047033631,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 08:00:00,0.0,999.0,6.25,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 09:00:00,447.0,700.0,6.852952387243698,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 10:00:00,0.0,620.0,7.5,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 11:00:00,112.0,335.0,8.147047612756301,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 12:00:00,0.0,222.0,8.75,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 13:00:00,112.0,162.0,9.267766952966369,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 14:00:00,0.0,137.0,9.665063509461095,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 15:00:00,112.0,139.0,9.91481456572267,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 16:00:00,224.0,1545.0,10.0,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 17:00:00,5594.0,1189.0,9.91481456572267,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 18:00:00,0.0,391.0,9.665063509461095,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-23 23:00:00,0.0,196.0,6.8529523872437,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 00:00:00,0.0,165.0,4.5,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 01:00:00,112.0,152.0,3.878679656440357,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 02:00:00,0.0,157.0,3.401923788646684,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 03:00:00,0.0,292.0,3.102222521132795,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 04:00:00,112.0,137.0,3.0,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 05:00:00,0.0,134.0,3.102222521132795,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 06:00:00,112.0,151.0,3.401923788646684,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 07:00:00,0.0,147.0,3.878679656440357,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 08:00:00,559.0,799.0,4.5,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 09:00:00,112.0,640.0,5.223542864692437,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 10:00:00,0.0,179.0,6.0,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 11:00:00,0.0,139.0,6.776457135307562,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 12:00:00,223.0,413.0,7.5,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 13:00:00,3020.0,1516.0,8.121320343559642,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 14:00:00,4588.0,1078.0,8.598076211353316,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 15:00:00,1679.0,415.0,8.897777478867205,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 16:00:00,4812.0,338.0,9.0,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 17:00:00,2239.0,475.0,8.897777478867205,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 18:00:00,2352.0,309.0,8.598076211353316,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 19:00:00,0.0,220.0,8.121320343559642,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 20:00:00,0.0,425.0,7.500000000000001,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 21:00:00,448.0,325.0,6.776457135307565,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 22:00:00,2904.0,349.0,6.0,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-24 23:00:00,1676.0,338.0,5.223542864692439,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 00:00:00,2234.0,418.0,2.0,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 01:00:00,1675.0,373.0,1.1715728752538097,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 03:00:00,0.0,152.0,0.1362966948437267,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 04:00:00,0.0,151.0,0.0,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 06:00:00,0.0,139.0,0.5358983848622452,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 07:00:00,0.0,123.0,1.1715728752538097,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 09:00:00,112.0,445.0,2.964723819589916,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 10:00:00,0.0,345.0,4.0,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 11:00:00,112.0,175.0,5.035276180410083,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 12:00:00,0.0,145.0,5.999999999999999,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 13:00:00,112.0,361.0,6.82842712474619,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 14:00:00,0.0,265.0,7.464101615137754,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 15:00:00,3020.0,413.0,7.863703305156273,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 16:00:00,4029.0,433.0,8.0,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 17:00:00,2686.0,345.0,7.863703305156273,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 18:00:00,3134.0,412.0,7.464101615137754,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 19:00:00,2575.0,457.0,6.82842712474619,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 20:00:00,2350.0,351.0,6.000000000000002,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 21:00:00,2235.0,742.0,5.035276180410086,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 22:00:00,0.0,1045.0,4.000000000000001,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-25 23:00:00,2349.0,358.0,2.964723819589919,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-26 00:00:00,783.0,445.0,2.75,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-26 01:00:00,112.0,155.0,2.4393398282201786,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-26 02:00:00,0.0,200.0,2.200961894323342,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-26 03:00:00,0.0,137.0,2.051111260566397,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
2018-01-26 04:00:00,112.0,154.0,2.0,standard,Edinburgh,1,"£10,800 to £13,499",control,flat,below_median,single,Large Urban Areas,1850-1899,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
